gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	length_bp
MDP1	-0.13286258958729105	7.491712050739958	0	1	1	889
GTSE1	0.09674751470031273	8.866487737843551	0	0.9999999999999991	1	2983
ARFRP1	-0.15594067951694743	9.697992177589851	0	1	1	5178
PSAP	0.011343162116379556	15.62086575052854	0	1	1	2906
KIAA0831	-0.0702952610249539	9.023739957716701	0	1	1	NA
SPPL2A	0.2170547864787411	9.160291754756871	0	1	1	7270
SLC46A1	0.13221348725227902	9.00297399577167	0	1	1	6492
TGFBR2	0.3384272788239222	11.047063002114164	0	0.9999999926442443	1	5794
ITGA8	1.4282190541847184	2.919532980972516	1.927681222445348	0.027246099281525223	1	6547
ITGA9	0.43073361551727735	7.519933192389006	0	0.998717937004413	1	7860
STK40	0.11201706257027051	10.605949471458773	0	1	1	6323
MYO3B	0.20936825298935263	1.6113475687103593	0	0.9999983796096381	1	6213
ATP2A1	-0.37219638205258154	3.669164270613108	0	0.9999996716986479	1	3532
ATP2A2	-0.037586984348995385	12.879002959830867	0	1	1	8295
ATP2A3	0.6264443667558165	8.91527420718816	0	0.9739389913654268	1	4826
ITGA1	1.18688769995765	8.38990866807611	1.140500053235565	0.1273271038528273	1	10736
ITGA2	0.3116610690335354	7.966655391120508	0	0.9998997706730137	1	7843
ITGA3	-0.4925309344151339	12.087990274841438	0	0.9951671610678062	1	5479
ITGA4	1.5133378267979563	8.182206342494714	2.214843563499847	0.013622897403852469	0.6948523818660651	6781
ITGA5	0.2457050366715173	10.439728752642706	0	0.9999999543122757	1	4996
ITGA6	0.02524311719685085	10.85725623678647	0	0.999999994272301	1	5816
ITGA7	-0.016055340650225732	9.81067420718816	0	0.9999947025042594	1	4238
LOC100132288	-0.16680737861264866	7.933001691331924	0	0.9999999999644983	1	NA
DENND4A	0.7156066288878469	8.338942917547568	0	0.9949133747212953	1	8837
DENND4B	0.034998861726250524	10.735057716701903	0	1	1	6395
DENND4C	0.4016133981816286	9.055840591966174	0	0.9999999999627119	1	8143
SWAP70	0.31579251559138594	10.924272515856236	0	0.9999999996129398	1	4884
RARRES1	1.4851045554845632	6.826374418604651	2.432863918159213	0.007674483567338236	0.4331467976287394	2040
LOC100132287	-0.17615340293743328	7.684405285412262	0	0.9999999999999885	1	NA
PHLDA3	-0.5582191327230672	10.957576109936575	0	0.9982593117943319	1	2749
PHLDA2	-0.6077156418715475	8.352909936575053	0	0.9722678940781668	1	955
TACO1	-0.20830814981871368	9.1306088794926	0	1	1	2304
PMM1	-0.28669111335552777	9.781684989429175	0	1	1	2538
GAP43	0.518816254674474	3.2564084566596194	0	0.9432037286806365	1	1901
NENF	-0.33172154658153735	10.56464312896406	0	0.9999999999993997	1	916
SQLE	-0.03366593169461423	9.853827061310783	0	0.9999999999999583	1	2994
MRPL28	-0.42405037568849074	10.363530232558139	0	0.9999999999999969	1	2607
LOC100289341	-0.4926362620918965	5.474105496828753	0	0.9999986853881968	1	NA
FBXL13	0.3470270908815415	3.4463966173361524	0	0.9999894762228002	1	4657
FBXL12	-0.07780878330724998	8.539431289640593	0	1	1	1920
FBXL15	-0.12137330030199041	7.577400422832981	0	1	1	1924
CYP27B1	-0.12521658543353165	5.057834249471459	0	0.9999999965623938	1	2545
FBXL17	0.17627173794162532	8.576498520084566	0	0.9999999999999998	1	5198
FBXL16	0.23557307392583823	5.171871247357294	0	0.9997441383241517	1	3557
FAM169A	0.5791239790819167	5.361061310782241	0	0.990615099456821	1	7860
FAM116B	-0.1475789450352727	7.218059830866808	0	0.9999999999999976	1	NA
FAM116A	0.10386333413593236	9.075797251585623	0	1	1	NA
RALGAPA2	0.7004199260067007	7.333079281183933	0	0.9932147152384094	1	9545
GHDC	-0.25374085494770837	10.090175052854123	0	1	1	2650
H19	0.7324662617291993	10.34054820295983	0	0.9024012606569192	1	2396
SDK2	-0.4386657964450012	5.49697822410148	0	0.9649364484438747	1	11079
TPRN	-0.5258804051917116	8.874130866807612	0	0.9999969800819958	1	3350
THSD4	0.14532011007197967	5.884628964059196	0	0.9999955841781082	1	9373
KIAA0895L	-0.17109166323299566	7.859961733615222	0	1	1	NA
CHST9	-0.5444729113424552	4.58956067653277	0	0.8677517024883105	1	11379
CHST8	0.30848634338039954	1.6347608879492601	0	0.9998608964939075	1	2479
COL4A5	-0.3288643370699863	5.276306131078224	0	0.9758386937245116	1	6531
COL4A4	0.2763702691151293	4.968195137420719	0	0.9998340490278483	1	9984
COL4A3	0.5200867787409921	2.39673044397463	0	0.9892564860008851	1	8038
COL4A2	0.09247850360848447	12.810493023255814	0	0.9999999999937141	1	6547
COL4A1	0.27140955796321264	12.330117970401691	0	0.9999999995379447	1	6742
SLC35D2	-0.07067172983028898	9.267875264270613	0	1	1	3327
CHST1	0.10890773430020834	6.158661310782241	0	0.9999996376071473	1	8080
ZNF879	-0.03035578174809582	5.130287737843552	0	0.9999999999957441	1	4221
CHST3	-0.1852647648014078	10.007324524312896	0	0.9999999999999897	1	6934
CHST2	0.09758626401257048	8.399954334038055	0	0.9999999907891384	1	4142
CHST5	-0.488720589864163	2.469205073995772	0	0.9999793023298288	1	3554
CHST7	0.5469241770543959	5.296207610993657	0	0.9995292799954928	1	3614
CHST6	0.01068357937449762	8.343825158562368	0	0.9999999953657884	1	8370
ITGAX	0.597806032596617	8.731063002114166	0	0.9964668022505798	1	4663
BCL2A1	0.13209074743448584	9.124372727272727	0	0.9999763561080788	1	809
GPSM2	-0.05642728403390615	8.56262579281184	0	1	1	8071
HLCS	-0.020214416375930088	8.908333403805496	0	1	1	8273
NOG	-0.15909414469084637	1.7328881606765327	0	0.9999898323089258	1	1913
LIPG	-0.3470593011722455	4.530227061310782	0	0.9991226731713789	1	10418
ITGAV	0.4031417780477697	10.940802959830867	0	0.9999965862151727	1	7951
HIBCH	0.09550190358270377	9.06964778012685	0	1	1	4346
ZNF703	-0.1691139180819781	8.84281289640592	0	0.9999983040190159	1	3316
ITGAL	1.1205538911947726	8.320346934460888	0.49698905450232606	0.3097136496356504	1	7524
ITGAM	1.0001412336490259	7.657620930232558	8.800829580928634e-4	0.49964908295506383	1	4745
HLF	-0.43498610515198705	4.418723044397463	0	0.9981889425092806	1	5721
NOV	-1.7010081058314066	9.011382875264271	-2.673316987533933	0.0038848818787105654	0.23371904753092426	NA
FAM134C	-0.16749379854053278	10.885367230443975	0	1	1	NA
FAM134B	0.16792760166132265	7.384497040169133	0	0.9999762687832052	1	NA
FAM134A	-0.1114903246321732	11.78746934460888	0	1	1	NA
SERPING1	0.5353848430476288	11.879431712473574	0	0.9971452446944602	1	2849
SMAD9	0.9578890230126074	3.2762433403805495	0	0.5890718931302574	1	5577
TRERF1	0.7418789569623667	7.131912473572939	0	0.949178083460673	1	7922
LOC653501	0.2638030166567149	6.3442450317124734	0	0.9999999996075358	1	NA
LRPAP1	-0.35841095987625254	12.551649894291755	0	0.9999999992917985	1	10446
LQK1	0.03782673769926747	5.029719450317125	0	0.9999999991106093	1	NA
SMAD6	-0.1202538367165308	5.5512513742071885	0	0.9999999999951953	1	5198
SMAD7	0.2031128889565452	8.083868921775899	0	0.9999999999999675	1	4318
GOLPH3L	-0.08980532052214617	8.98841289640592	0	1	1	3501
SMAD1	0.2736862542130058	7.5880391120507396	0	0.9999999746027375	1	4975
AFTPH	0.32313737226217937	9.508593657505285	0	1	1	4674
SMAD3	0.037472160049687966	9.775141860465116	0	1	1	6464
MUS81	0.006368958654432597	9.266610570824524	0	1	1	3420
AMMECR1L	-0.13113343799608923	10.111688583509514	0	1	1	4884
IL1RAPL1	0.7786585471536316	2.0593424947145875	0	0.8172689918007443	1	3615
IGF2R	0.11129955595670933	12.375738054968288	0	1	1	14231
ZC3H10	-0.027293096391927552	7.764251585623678	0	1	1	7121
CKS1B	0.03887309734447237	9.366272938689217	0	1	1	1166
SLC36A1	-0.023623202642930285	8.780385200845666	0	1	1	5932
ST13	0.1094080071349544	12.377001057082452	0	1	1	3212
RPL31P11	0.08054182841944373	2.315089006342495	0	0.9999999999999948	1	1558
ZC3H15	0.30804359934183473	10.153855391120507	0	1	1	4600
C14orf118	0.3357929371623567	7.627677589852008	0	1	1	NA
ARTN	-0.8097352270285574	2.086699577167019	0	0.8995832516914353	1	2240
ART3	0.7457918570128347	3.9777663847780125	0	0.8103776486556806	1	2895
HERC2P2	-0.19301965947193656	9.224061733615223	0	0.9999999908955278	1	5181
ART5	-0.2034865640272248	1.560902536997886	0	0.9999994074340072	1	1241
ART4	1.0896965315682727	1.3962966173361522	0.5045901759205282	0.3070406500950656	1	5160
RNF111	0.3888330344195071	9.32696955602537	0	1	1	6803
TCEA2	-0.302685747342819	8.5456177589852	0	0.99999999999836	1	2357
TCEA3	-0.24952444807798407	6.898302536997885	0	0.99961555545398	1	3758
TCEA1	0.27335658629941256	10.242066384778013	0	1	1	2966
MGC57346	0.33687876650153203	6.878412050739958	0	0.9999980526993906	1	NA
COX4I2	0.05448915887691175	3.6947162790697674	0	0.9999999997783358	1	730
COX4I1	-0.2649902767262253	12.445350317124737	0	1	1	3946
BFAR	-0.03221322805382976	11.207981606765328	0	1	1	3039
ZC3H18	0.03706572007177987	10.250179281183932	0	1	1	4775
SIPA1	0.1482533828763987	10.420386469344608	0	1	1	6133
CRTAM	1.1970406646618166	4.222202325581395	0.8816476040107677	0.18920722298236942	1	2641
EDA	0.40743235729747224	5.392599788583509	0	0.9995192609922516	1	5272
CCDC116	-0.2162476095555081	1.939163847780127	0	0.9999999999999784	1	2231
CADPS2	0.5866953544653234	8.189049682875265	0	0.9772269729591588	1	6065
CCDC114	-0.290945129216165	3.6550327695560254	0	0.9999999378366918	1	NA
CCDC115	-0.2324946643312767	9.79603023255814	0	1	1	NA
CCDC112	0.5587801712747311	7.130879492600423	0	0.9995907179707471	1	2387
CCDC113	-0.3749150690223455	6.204757716701903	0	0.9999582864262266	1	NA
CCDC110	0.3770546469195729	3.850019027484144	0	0.9999430274731401	1	3044
CCDC111	0.4990263944224667	7.160938689217759	0	0.9999998389116452	1	NA
LEO1	0.19531325565438737	8.85058245243129	0	1	1	2165
ATP1A3	0.456235697159089	4.591008456659619	0	0.981364630427086	1	3818
ATP1A2	0.5472789494105432	2.62263044397463	0	0.950479947504093	1	5435
ATP1A1	-0.08599635697966068	15.614150105708244	0	1	1	3829
KGFLP2	0.28162508252025864	4.936998942917548	0	0.9999999964906487	1	NA
MGRN1	-0.2016893447069523	11.415789006342495	0	1	1	6425
TCP1	-0.004804340887613946	11.702219027484144	0	1	1	2406
CRTAP	-0.2047791766446716	13.0563266384778	0	1	1	6595
SPHK1	-0.38988533848576445	8.605401479915434	0	0.9998940787598046	1	2502
DPT	-0.1475481350129253	6.584411627906976	0	0.999267776507163	1	1773
CUEDC1	-0.11083679069898446	8.563189006342494	0	1	1	3849
CUEDC2	-0.12159984028710202	9.894198520084567	0	1	1	1361
CBLB	0.3710197607297399	8.86178329809725	0	0.9999999999964837	1	6755
CPEB4	0.22365549209496566	9.451803382663847	0	0.9999999999995824	1	9418
CPEB1	-0.34088040899645905	7.003198097251586	0	0.998442014575536	1	4882
ZNF45	0.3087685386783817	7.8288114164904865	0	0.9999999999999989	1	6408
CPEB3	0.5730166664238834	5.647801479915433	0	0.9999503350568455	1	7781
CPEB2	-0.39395026638559094	10.389713742071882	0	0.9999988872317502	1	7069
BEGAIN	-0.6147600724921012	5.251197463002114	0	0.9510505315416293	1	5811
OSGEP	-0.02776649113375928	8.745501268498943	0	1	1	3258
ABAT	0.26358471847745735	6.463638266384778	0	0.9999898399638081	1	5586
LOC100129637	-0.2157075404609758	7.568987949260042	0	1	1	NA
ZNF780A	0.1881437870744895	7.948379704016913	0	1	1	8976
ZNF780B	0.3693305570038515	7.710424101479916	0	0.9999999865625608	1	8687
TLN2	0.05891636588517609	9.234629386892177	0	1	1	12023
FRG1	0.11869322809318315	9.155970824524314	0	1	1	3097
RHEBL1	-0.140465719235852	6.027440169133192	0	0.9999999999999998	1	1261
ZNF41	0.4528047326256057	7.275100845665962	0	0.999999999854021	1	6537
IFT80	0.38509537750058936	8.561291754756871	0	0.9999997554044162	1	4901
FBRS	-0.18458320016334762	10.82936997885835	0	1	1	5196
ZNF414	-0.25912992674614516	7.693785623678647	0	0.9999999999999853	1	2307
IFT88	0.0882733454347102	7.9440150105708245	0	0.9999999999999998	1	3553
IL10RA	0.9082735973417666	8.716001479915434	0	0.687735970387093	1	6711
POU5F1B	0.04746664796424018	2.7761346723044396	0	0.9999999538112311	1	4765
SP1	0.13795574496059906	11.169359196617336	0	1	1	7680
SLC27A4	-0.5705109311216487	10.114301479915433	0	0.9999992745188497	1	4653
SP2	0.02935352302775609	9.525445665961945	0	1	1	3026
OLA1	0.13205325694601028	10.44700866807611	0	1	1	4251
PNOC	1.377100864640602	2.950310993657505	1.571309050300319	0.05838920922320638	1	4510
CNTF	-0.4401007341009468	4.220606976744186	0	0.999860530056953	1	1902
MCM10	0.3973817946579467	7.380728329809725	0	0.9999993338707427	1	4587
PDIA5	0.04400041465970908	9.014614164904863	0	1	1	2232
SP4	0.842041178065956	7.293930866807611	0	0.9030837380613712	1	6077
TMEM38B	0.5838049031011516	7.48473911205074	0	0.9999017705812432	1	3956
THUMPD3	0.16324714569301832	9.709254334038055	0	1	1	4941
SP5	-0.7030605822812155	2.6125680761099366	0	0.8948675923137198	1	2047
ATG4C	0.3335067072660096	7.708539746300212	0	0.999999999999941	1	3478
ATG4B	-0.42004120403935996	10.354494926004229	0	0.9999999999999999	1	3294
ATG4A	0.04551790099483439	7.777299365750529	0	1	1	2501
THUMPD2	0.1850242663560051	7.15736088794926	0	1	1	3148
LOC441208	0.22741791655691393	6.146377167019027	0	0.9999999999999657	1	NA
ATG4D	-0.44657889847346627	9.016568076109937	0	0.9999999999916063	1	2287
LRGUK	-0.37544008417457625	4.732945665961945	0	0.9982603307045261	1	4895
MPHOSPH8	0.36120624045273897	9.512668710359408	0	0.9999999999999984	1	4239
UPK2	-0.26899457199241217	1.5221511627906976	0	0.9999999982368863	1	958
CFH	0.8155058648938869	9.310301902748414	0	0.8565432576672471	1	6985
CFI	1.1220030524156845	8.096429809725159	0.5249336073683912	0.29993744005706147	1	2368
PNP	-0.03226371289848909	9.045779069767441	0	1	1	4729
ANKFY1	-0.029059671602441033	11.00013509513742	0	1	1	7506
CFB	0.12967038503794998	7.705314164904863	0	0.9999822623363346	1	4139
MLLT4	-0.014317724635228709	9.42486088794926	0	0.9999999999999819	1	NA
CREBBP	0.14592675797909652	11.156073361522198	0	1	1	10790
PNN	0.22324004802466502	10.544827906976744	0	1	1	3537
PHYHIPL	-0.23328992983521152	2.9748446088794926	0	0.9998895266454625	1	3569
ATP6V0E1	-0.13967749973779714	11.496675264270612	0	1	1	1419
ATP6V0E2	-0.1332948040043626	10.588346300211416	0	0.999999999922755	1	4146
RNF128	0.08237055649831863	5.06033911205074	0	0.9981533931057136	1	2803
CFP	0.43683261704206006	5.3192424947145875	0	0.9983038088499256	1	4274
AAAS	-0.11624028075127689	9.825507399577168	0	1	1	2690
HAMP	1.2262997121994088	3.7577598308668074	0.9192332831932275	0.17922065419522576	1	2624
ZNF394	-0.1872928539986232	9.126053911205075	0	1	1	5731
SIDT1	0.6084110644078612	5.3244953488372095	0	0.9861849963139673	1	4976
SIDT2	-0.20710519938689292	10.107972938689217	0	1	1	4419
TAF8	0.10779208385800002	9.08825264270613	0	1	1	6678
SIX4	0.9073301292491415	4.887353065539112	0	0.6834004385552244	1	6491
LOC283070	0.02157679441707138	5.999615010570825	0	0.9999999993962931	1	NA
MR1	0.1339662589464596	7.671192811839323	0	0.9999999999998543	1	7911
WASH3P	-0.35317080370440396	8.67553044397463	0	1	1	1394
CNPY4	-0.12511837332271225	9.029345243128963	0	1	1	1558
CNPY3	0.08959592914018752	11.002371458773784	0	1	1	2476
CNPY2	-0.09402750443431607	10.81673065539112	0	1	1	3617
NODAL	-0.19286672508675726	1.3490331923890064	0	0.9999999999989433	1	2058
SYNJ1	0.2720489257537064	8.589778435517971	0	1	1	7085
KNDC1	-1.360031373846745	2.2557319238900635	-1.6157600210179077	0.05340592734501292	1	7021
HMG20A	0.17598361251013508	10.6079	0	1	1	4624
HMG20B	-0.6204874964266558	11.783513742071882	0	0.9999583770992615	1	2434
PHOSPHO2	0.20966426684358921	4.685561522198731	0	1	1	4743
AAGAB	-0.01636317828593677	9.883764059196617	0	1	1	3132
C4orf19	0.18990246620173476	6.238977589852008	0	0.9982341925706517	1	NA
SLC7A6OS	0.06220567938910883	8.217598731501058	0	1	1	4191
C3orf75	-0.21628619524977574	9.114929386892177	0	1	1	NA
C4orf10	-0.3422852599144115	8.211814799154334	0	1	1	NA
C3orf72	-0.7435026902953737	1.8389133192389007	0	0.8630576220910743	1	NA
C3orf71	-0.11833798964464667	4.812578012684989	0	1	1	NA
C3orf70	-0.11897951830847871	7.535375052854123	0	0.9999950417024644	1	7159
ZNF285	0.0807150159564878	5.183987949260042	0	0.9999999791588392	1	6031
MRO	0.0885050161895724	4.253536363636363	0	0.9999990939088438	1	5200
ZFP82	0.09719681092511681	6.4999955602537	0	0.9999999999989453	1	5941
CHFR	-0.19792499078984008	9.157008033826639	0	1	1	11228
EFHA1	0.1772135550670131	9.116633615221987	0	1	1	NA
RTBDN	0.20179953994579025	1.838201691331924	0	0.9999349896858322	1	2076
EFHA2	0.32646750616619147	4.894846511627907	0	0.9996972055687692	1	NA
GPR75	0.17749076578437809	3.0885689217758987	0	0.9999999999820108	1	2094
NUDT9P1	0.2779237767208185	1.860798731501057	0	0.9999999999665965	1	745
SYPL2	0.6029733648273184	5.0231748414376325	0	0.9853805884559979	1	3770
RFX8	-0.07077613472534697	2.048026849894292	0	0.999999391303427	1	2140
ZNF222	0.17078877444920892	5.762827906976744	0	1	1	1765
AVPR2	-0.1807235205361819	3.8608649048625794	0	0.9999993581253195	1	1849
RFX7	0.3050710432734422	8.996897885835095	0	0.9999999999999782	1	11022
NRXN3	0.19267368795002462	5.061705285412262	0	0.9987226295918139	1	12048
GPR77	0.40854340269999706	2.484263847780127	0	0.9999949859744655	1	NA
NRXN1	0.7434060169659695	1.5160661733615222	0	0.8393345046079884	1	9375
RFX3	0.979501816256377	5.155228118393235	0	0.5595649509319824	1	9307
RFPL2	-0.04996535623070689	3.0389997885835096	0	0.9999805143111261	1	2407
VPS37D	-0.3220693722016392	5.843725581395349	0	0.9999912058118934	1	1618
APC	0.4583381478377028	9.305331289640591	0	0.9999999723157338	1	10920
TMEM179B	-0.23922993364290676	10.02662600422833	0	1	1	1043
ABCE1	0.3452371575600119	10.64354376321353	0	0.9999999999999998	1	3915
UQCRC2	0.06376899548527741	11.339187737843552	0	1	1	3984
XPNPEP1	0.04531838251015571	10.512766807610994	0	1	1	4384
XPNPEP2	-0.06756396547743415	3.5579477801268498	0	0.9999946371272099	1	3319
TIGD4	0.40393675990464417	3.8287027484143765	0	0.9999899487090409	1	3546
ZNHIT3	-0.10513126834028602	8.905356871035941	0	1	1	4420
GGCX	0.05610047407583526	9.813327484143763	0	1	1	7605
PAPLN	0.22673443995669387	7.847530021141649	0	0.9999996473459777	1	6694
ADNP	0.259381616462268	11.301710782241015	0	1	1	7360
TMEM218	-0.007067570236335842	7.785602114164905	0	1	1	4547
STXBP6	-0.4509763325477058	7.2828052854122625	0	0.9986527481316133	1	4208
KHDRBS1	0.1947397984049179	11.660541014799154	0	1	1	2899
RUNDC2C	0.5569327488247943	4.064199154334038	0	0.9989981070001164	1	NA
KHDRBS3	0.45847078917997297	8.957181818181818	0	0.9997434703441164	1	5466
GGCT	-0.24344762012019636	9.92249196617336	0	1	1	1170
VPS37C	-0.14538107149760468	9.539032980972516	0	1	1	3501
STAC2	-0.9770296863469802	3.1090249471458775	0	0.5355556631002508	1	3430
ZNF395	0.15800094912594972	10.18396532769556	0	1	1	4797
STAC3	0.4858658502382911	5.621445454545454	0	0.9997523621761332	1	1645
TMEM127	-0.06477236534693107	11.183512050739958	0	1	1	6271
TRPA1	0.13716428892089053	2.463825369978858	0	0.9999996329218251	1	6921
VPS37B	-0.39802214117446644	10.327141649048626	0	0.9999999999999996	1	2706
TTC7A	0.12149011657961518	8.673497251585623	0	1	1	6587
UQCRHL	-0.0705740197930718	9.103728118393235	0	1	1	2180
ZBED4	0.14199474093073736	9.782169133192388	0	1	1	10293
C11orf2	-0.200807405803882	10.920004862579281	0	1	1	NA
C11orf1	-0.15970026208667598	7.691851162790698	0	1	1	NA
DPYSL5	0.5460731599470151	1.770178646934461	0	0.9646853007585576	1	5178
DPYSL2	0.18493916762720464	11.198976109936575	0	0.9999999999124912	1	4798
DPYSL3	0.3834103788975978	10.135868921775899	0	0.9999910514642244	1	5532
OSTM1	0.052457786436793684	10.908124735729388	0	0.9999999999999196	1	5024
RUNX2	0.3319376320705592	7.3047642706131075	0	0.9999694580819177	1	5877
C11orf9	0.14912630694031329	6.279560042283298	0	0.999933463450067	1	NA
IGFBP2	0.16939552021862916	10.054609090909091	0	0.9997303559639369	1	4414
IGFBP3	0.6219653320921468	11.397388794926004	0	0.9722417300915667	1	2631
BOP1	-0.06476171848315493	9.305603594080338	0	0.9999999999999905	1	2433
IGFBP7	0.21421076990132906	11.900970613107823	0	0.9999999538256378	1	1712
IGFBP4	-0.2888789945691865	11.797146088794927	0	0.9999998043994467	1	2208
IGFBP5	0.5536927290111887	11.787846723044398	0	0.965570783168768	1	6239
SKP2	0.43475375066622657	7.287704651162791	0	0.999999958979805	1	7461
TTC4	-0.09561843211486631	9.363673150105708	0	1	1	2363
CYP2R1	-0.1190430731176348	7.230102325581395	0	1	1	2325
CKLF	0.09417273386830065	8.700829386892178	0	1	1	656
ZNF193	-0.11197091393082836	7.5768915433403805	0	1	1	NA
C15orf26	0.06981297916630301	1.4420911205073996	0	0.9999999999678238	1	NA
C15orf27	0.30468496033380776	3.5717997885835095	0	0.999999487766031	1	NA
C15orf24	-0.14744561987597737	10.535315221987315	0	1	1	NA
GJA3	-0.26279580537443203	6.845405285412262	0	0.99768467128046745	1	5354
APLNR	-0.30613626124474336	8.207784355179705	0	0.9998165611017059	1	3660
C15orf23	0.05145464915612452	8.32274841437632	0	1	1	NA
C15orf21	-0.013826288675040602	4.633535306553911	0	1	1	NA
C15orf28	0.3699299164183373	1.5957858350951375	0	0.9999999874930784	1	NA
C15orf29	0.028276850757488935	7.633294503171247	0	1	1	NA
STMN1	0.018862967641949342	12.521298731501057	0	1	1	2947
S1PR2	-0.06777559873660782	9.469781395348837	0	1	1	3643
KDM3B	0.16866250709260622	10.865604862579282	0	1	1	6724
STK17A	0.3459495191115989	9.262134249471458	0	0.9999999824653452	1	3935
KDM3A	0.24286265451034716	10.476341437632135	0	1	1	8741
S1PR1	0.7480267522636461	7.534501691331924	0	0.9786871132525541	1	3089
ZNF642	0.019592125435868094	6.454981183932347	0	1	1	NA
TMC4	-0.13873416715768	3.9713348837209304	0	0.9999998188888893	1	2413
TMC6	-0.20515943171325726	10.489225158562368	0	0.9999998062053351	1	8387
KIAA1958	0.4483162712594517	4.660646088794926	0	0.9999922759371151	1	11795
APIP	0.2610953350957735	8.0851177589852	0	1	1	4583
TMC3	-0.38985209863472164	1.467156025369979	0	0.999998224466291	1	4770
PKLR	-0.803939453601635	4.391336575052854	0	0.7134909937673076	1	3047
EIF2B4	-0.1957968032505206	9.807293234672304	0	1	1	4293
EIF2B5	-0.13328311032853293	10.336422410147991	0	1	1	4425
EIF2B2	-0.017803882969737197	9.644420295983087	0	1	1	4304
EIF2B3	0.05924201905310242	9.022060042283298	0	1	1	1923
